Ethnicity,Rate,Number of arrests
All,12,"671,126"
Asian,12,"42,872"
Bangladeshi,14,"6,291"
Indian,6,"8,527"
Pakistani,14,"15,367"
Asian other,15,"12,687"
Black,32,"60,116"
Black African,23,"22,697"
Black Caribbean,33,"19,611"
Black other,64,"17,808"
Mixed,18,"21,832"
Mixed White/Asian,7,"2,246"
Mixed White/Black African,16,"2,593"
Mixed White/Black Caribbean,26,"10,969"
Mixed other,21,"6,024"
White,10,"452,320"
White British,9,"400,914"
White Irish,12,"6,224"
White other,18,"45,182"
Other inc Chinese,12,"11,148"
Chinese,3,"1,289"
Any other,18,"9,859"
Unknown,N/A,"82,838"