,,30-Jun-14 (1),,,30-Jun-15,,,30-Jun-16,,,30-Jun-17,,,30-Jun-18,,,,,,,,,
All Ages,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,
Self-identified ethnicity (numbers),Total (all ages) White,"62,491","59,323","3,168","63,498","60,365","3,133","62,600","59,467","3,133","62,748","59,502","3,246","60,275","57,130","3,145",,,,,,,
,Total (all ages) Black,"10,790","10,423",367,"10,686","10,308",378,"10,453","10,096",357,"10,659","10,299",360,"10,412","10,114",298,,,,,,,
,Total (all ages) Asian,"6,615","6,486",129,"6,992","6,820",172,"6,859","6,703",156,"6,987","6,824",163,"6,635","6,465",170,,,,,,,
,Total (all ages) Mixed,"3,479","3,313",166,"3,492","3,340",152,"3,666","3,500",166,"3,804","3,607",197,"3,766","3,614",152,,,,,,,
,Total (all ages) Other ethnic group(1),"1,053","1,005",48,909,872,37,"1,001",972,29,"1,061","1,033",28,"1,188","1,165",23,,,,,,,
,Total known,"84,428","80,550","3,878","85,577","81,705","3,872","84,579","80,738","3,841","85,259","81,265","3,994","82,276","78,488","3,788",,,,,,,
, Not stated/ Unknown (2),"1,081","1,030",51,616,584,32,555,534,21,604,591,13,497,482,15,,,,,,,
,Total (all),"85,509","81,580","3,929","86,193","82,289","3,904","85,134","81,272","3,862","85,863","81,856","4,007","82,773","78,970","3,803",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Age Range,15-17,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,432,432,0,367,367,0,319,319,0,331,331,0,312,312,0,,,,,,,
,Black,162,162,0,158,158,0,151,151,0,173,173,0,184,184,0,,,,,,,
,Asian(1),66,66,0,73,73,0,60,60,0,55,55,0,59,59,0,,,,,,,
,Mixed,67,67,0,76,76,0,91,91,0,80,80,0,73,73,0,,,,,,,
,Other ethnic group (1),10,10,0,6,6,0,12,12,0,8,8,0,11,11,0,,,,,,,
,Total known,737,737,0,680,680,0,633,633,0,647,647,0,639,639,0,,,,,,,
, Not stated/ Unknown (2),4,4,0,0,0,0,2,2,0,2,2,0,3,3,0,,,,,,,
,  Total (all),741,741,0,680,680,0,635,635,0,649,649,0,642,642,0,,,,,,,
Age Range,18-20,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"3,613","3,482",131,"3,200","3,073",127,"2,762","2,650",112,"2,643","2,554",89,"2,375","2,273",102,,,,,,,
,Black,"1,049","1,030",19,941,914,27,926,909,17,944,925,19,945,935,10,,,,,,,
,Asian(1),427,423,4,437,430,7,378,373,5,442,437,5,401,395,6,,,,,,,
,Mixed,436,427,9,358,351,7,366,357,9,414,402,12,369,357,12,,,,,,,
,Other ethnic group (1),105,103,2,91,90,1,101,101,0,88,86,2,114,113,1,,,,,,,
,Total known,"5,630","5,465",165,"5,027","4,858",169,"4,533","4,390",143,"4,531","4,404",127,"4,204","4,073",131,,,,,,,
, Not stated/ Unknown (2),71,68,3,23,21,2,26,25,1,39,39,0,37,36,1,,,,,,,
,  Total (all),"5,701","5,533",168,"5,050","4,879",171,"4,559","4,415",144,"4,570","4,443",127,"4,241","4,109",132,,,,,,,
Age Range,21-24,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"8,498","8,134",364,"8,173","7,885",288,"7,165","6,893",272,"6,535","6,275",260,"5,766","5,540",226,,,,,,,
,Black,"1,855","1,816",39,"1,791","1,750",41,"1,836","1,796",40,"1,945","1,904",41,"1,957","1,925",32,,,,,,,
,Asian(1),996,983,13,991,976,15,940,931,9,940,922,18,884,871,13,,,,,,,
,Mixed,785,759,26,729,712,17,728,704,24,733,707,26,732,715,17,,,,,,,
,Other ethnic group (1),166,161,5,153,151,2,171,168,3,160,157,3,222,217,5,,,,,,,
,Total known,"12,300","11,853",447,"11,837","11,474",363,"10,840","10,492",348,"10,313","9,965",348,"9,561","9,268",293,,,,,,,
, Not stated/ Unknown (2),173,168,5,102,99,3,78,75,3,80,78,2,68,67,1,,,,,,,
,  Total (all),"12,473","12,021",452,"11,939","11,573",366,"10,918","10,567",351,"10,393","10,043",350,"9,629","9,335",294,,,,,,,
Age Range,25-29,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"11,379","10,811",568,"11,429","10,864",565,"11,260","10,749",511,"11,007","10,490",517,"10,194","9,721",473,,,,,,,
,Black,"2,064","2,004",60,"2,094","2,041",53,"2,041","1,993",48,"2,100","2,042",58,"2,124","2,072",52,,,,,,,
,Asian(1),"1,483","1,466",17,"1,414","1,388",26,"1,361","1,334",27,"1,316","1,291",25,"1,246","1,221",25,,,,,,,
,Mixed,818,790,28,855,819,36,883,843,40,877,837,40,862,832,30,,,,,,,
,Other ethnic group (1),192,186,6,181,174,7,193,191,2,223,219,4,205,202,3,,,,,,,
,Total known,"15,936","15,257",679,"15,973","15,286",687,"15,738","15,110",628,"15,523","14,879",644,"14,631","14,048",583,,,,,,,
, Not stated/ Unknown (2),200,191,9,115,111,4,102,100,2,104,100,4,73,71,2,,,,,,,
,  Total (all),"16,136","15,448",688,"16,088","15,397",691,"15,840","15,210",630,"15,627","14,979",648,"14,704","14,119",585,,,,,,,
Age Range,30-39,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"17,672","16,575","1,097","18,250","17,139","1,111","18,424","17,279","1,145","18,985","17,789","1,196","18,717","17,502","1,215",,,,,,,
,Black,"2,937","2,806",131,"3,013","2,878",135,"2,875","2,735",140,"2,893","2,766",127,"2,697","2,598",99,,,,,,,
,Asian(1),"2,250","2,203",47,"2,435","2,378",57,"2,414","2,355",59,"2,427","2,374",53,"2,288","2,232",56,,,,,,,
,Mixed,869,804,65,915,864,51,"1,021",961,60,"1,085","1,008",77,"1,120","1,058",62,,,,,,,
,Other ethnic group (1),299,289,10,290,277,13,293,284,9,320,313,7,340,336,4,,,,,,,
,Total known,"24,027","22,677","1,350","24,903","23,536","1,367","25,027","23,614","1,413","25,710","24,250","1,460","25,162","23,726","1,436",,,,,,,
, Not stated/ Unknown (2),334,317,17,172,168,4,162,153,9,184,180,4,148,142,6,,,,,,,
,  Total (all),"24,361","22,994","1,367","25,075","23,704","1,371","25,189","23,767","1,422","25,894","24,430","1,464","25,310","23,868","1,442",,,,,,,
Age Range,40-49,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"11,579","10,926",653,"11,950","11,297",653,"11,905","11,229",676,"11,932","11,195",737,"11,391","10,710",681,,,,,,,
,Black,"1,778","1,700",78,"1,703","1,624",79,"1,570","1,505",65,"1,515","1,448",67,"1,397","1,326",71,,,,,,,
,Asian(1),951,919,32,"1,108","1,067",41,"1,157","1,122",35,"1,234","1,193",41,"1,176","1,134",42,,,,,,,
,Mixed,367,342,25,382,357,25,408,380,28,403,373,30,393,372,21,,,,,,,
,Other ethnic group (1),184,165,19,115,103,12,137,126,11,164,156,8,185,178,7,,,,,,,
,Total known,"14,859","14,052",807,"15,258","14,448",810,"15,177","14,362",815,"15,248","14,365",883,"14,542","13,720",822,,,,,,,
, Not stated/ Unknown (2),158,148,10,123,112,11,106,103,3,106,104,2,89,84,5,,,,,,,
,  Total (all),"15,017","14,200",817,"15,381","14,560",821,"15,283","14,465",818,"15,354","14,469",885,"14,631","13,804",827,,,,,,,
Age Range,50-59,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"5,928","5,656",272,"6,367","6,063",304,"6,700","6,386",314,"6,931","6,581",350,"6,974","6,621",353,,,,,,,
,Black,813,778,35,847,808,39,899,856,43,909,869,40,898,869,29,,,,,,,
,Asian(1),320,310,10,395,377,18,393,377,16,416,400,16,409,388,21,,,,,,,
,Mixed,114,101,13,149,135,14,141,138,3,183,173,10,187,180,7,,,,,,,
,Other ethnic group (1),79,73,6,53,52,1,65,63,2,67,65,2,82,79,3,,,,,,,
,Total known,"7,254","6,918",336,"7,811","7,435",376,"8,198","7,820",378,"8,506","8,088",418,"8,550","8,137",413,,,,,,,
, Not stated/ Unknown (2),106,101,5,60,54,6,52,50,2,58,57,1,57,57,0,,,,,,,
,  Total (all),"7,360","7,019",341,"7,871","7,489",382,"8,250","7,870",380,"8,564","8,145",419,"8,607","8,194",413,,,,,,,
Age Range,60-69,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,"2,441","2,364",77,"2,610","2,534",76,"2,747","2,658",89,"2,875","2,789",86,"2,961","2,882",79,,,,,,,
,Black,104,99,5,109,106,3,118,114,4,140,133,7,167,163,4,,,,,,,
,Asian(1),95,90,5,109,103,6,124,122,2,127,123,4,141,137,4,,,,,,,
,Mixed,15,15,0,19,17,2,19,17,2,20,18,2,22,20,2,,,,,,,
,Other ethnic group (1),14,14,0,15,14,1,24,23,1,26,25,1,21,21,0,,,,,,,
,Total known,"2,669","2,582",87,"2,862","2,774",88,"3,032","2,934",98,"3,188","3,088",100,"3,312","3,223",89,,,,,,,
, Not stated/ Unknown (2),23,21,2,16,14,2,19,18,1,25,25,0,16,16,0,,,,,,,
,  Total (all),"2,692","2,603",89,"2,878","2,788",90,"3,051","2,952",99,"3,213","3,113",100,"3,328","3,239",89,,,,,,,
Age Range,70 and over,,,,,,,,,,,,,,,,,,,,,,
Self-identified ethnicity (numbers),White,949,943,6,"1,152","1,143",9,"1,318","1,304",14,"1,509","1,498",11,"1,585","1,569",16,,,,,,,
,Black,28,28,0,30,29,1,37,37,0,40,39,1,43,42,1,,,,,,,
,Asian(1),27,26,1,30,28,2,32,29,3,30,29,1,31,28,3,,,,,,,
,Mixed,8,8,0,9,9,0,9,9,0,9,9,0,8,7,1,,,,,,,
,Other ethnic group (1),4,4,0,5,5,0,5,4,1,5,4,1,8,8,0,,,,,,,
,Total known,"1,016","1,009",7,"1,226","1,214",12,"1,401","1,383",18,"1,593","1,579",14,"1,675","1,654",21,,,,,,,
, Not stated/ Unknown (2),12,12,0,5,5,0,8,8,0,6,6,0,6,6,0,,,,,,,
,  Total (all),"1,028","1,021",7,"1,231","1,219",12,"1,409","1,391",18,"1,599","1,585",14,"1,681","1,660",21,,,,,,,